Gene.Symbol	EntrezGene.ID	EnsemblGene.ID
ACTR3B	57180	ENSG00000133627
ANLN	54443	ENSG00000011426
BAG1	573	ENSG00000107262
BCL2	596	ENSG00000171791
BIRC5	332	ENSG00000089685
BLVRA	644	ENSG00000106605
CCNB1	891	ENSG00000134057
CCNE1	898	ENSG00000105173
CDC20	991	ENSG00000117399
CDC6	990	ENSG00000094804
CDCA1	83540	ENSG00000062038
CDH3	1001	ENSG00000117724
CENPF	1063	ENSG00000138180
CEP55	55165	ENSG00000171604
CXXC5	51523	ENSG00000146648
EGFR	1956	ENSG00000141736
ERBB2	2064	ENSG00000091831
ESR1	2099	ENSG00000174371
EXO1	9156	ENSG00000160867
FGFR4	2264	ENSG00000129514
FOXA1	3169	ENSG00000054598
FOXC1	2296	ENSG00000173890
GPR160	26996	ENSG00000141738
GRB7	2886	ENSG00000142945
KIF2C	11004	ENSG00000186847
KNTC2	10403	ENSG00000128422
KRT14	3861	ENSG00000186081
KRT17	3872	ENSG00000277956
KRT5	3852	ENSG00000276155
MAPT	4137	ENSG00000186868
MDM2	4193	ENSG00000135679
MELK	9833	ENSG00000165304
MIA	8190	ENSG00000261857
MKI67	4288	ENSG00000148773
MLPH	79083	ENSG00000115648
MMP11	4320	ENSG00000099953
MYBL2	4605	ENSG00000275365
MYC	4609	ENSG00000101057
NAT1	9	ENSG00000136997
ORC6L	23594	ENSG00000171428
PGR	5241	ENSG00000082175
PHGDH	26227	ENSG00000092621
PTTG1	9232	ENSG00000164611
RRM2	6241	ENSG00000171848
SFRP1	6422	ENSG00000104332
SLC39A6	25800	ENSG00000141424
TMEM45B	120224	ENSG00000151715
TYMS	7298	ENSG00000176890
UBE2C	11065	ENSG00000175063
UBE2T	29089	ENSG00000077152
